,toronto_ct2011s,,GEO UID,:,integer
:,toronto_ct2011s,:,Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes,:,integer
:,toronto_ct2011s,:,Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / Without income; Both sexes,:,integer
:,toronto_ct2011s,:, Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes,:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / Under $5,000; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $5,000 to $9,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $10,000 to $14,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $15,000 to $19,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $20,000 to $29,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $30,000 to $39,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $40,000 to $49,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $50,000 to $59,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $60,000 to $79,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $80,000 to $99,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $100,000 and over; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $100,000 and over; Both sexes / $100,000 to $124,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / With income; Both sexes / $100,000 and over; Both sexes / $125,000 and over; Both sexes",:,integer
:,toronto_ct2011s,:,Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / Median income $; Both sexes,:,integer
:,toronto_ct2011s,:,Income of individuals in 2010 (part 1)Both sexes / Total income in 2010 of population aged 15 years and over; Both sexes / Average income $; Both sexes,:,integer
:,toronto_ct2011s,:,Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes,:,integer
:,toronto_ct2011s,:,Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / Without after-tax income; Both sexes,:,integer
:,toronto_ct2011s,:,Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes,:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / Under $5,000; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $5,000 to $9,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $10,000 to $14,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $15,000 to $19,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $20,000 to $29,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $30,000 to $39,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $40,000 to $49,999; Both sexes",:,integer
:,toronto_ct2011s,:,"Income of individuals in 2010 (part 1)Both sexes / After-tax income in 2010 of population 15 years and over; Both sexes / With after-tax income; Both sexes / $50,000 to $59,999; Both sexes",:,integer
